Model,RMSE,MAE,R2
RandomForest,0.012123678199107809,0.004626924271164069,0.995299014442471
XGBoost,0.012826269273213368,0.005253959955812751,0.9947383637278066
LightGBM,0.012687083367308706,0.005074723710099571,0.9948519387704651
HistGBM,0.013099895927939118,0.005297704544970382,0.9945114729722684
